cl_id,successful,paid_amount,co_name,datecl,payment_method,mid,card_brand
5120,0,2000.08,Canada,2/27/2021,Mobile,106,JBC
8318,1,4446.48,Germany,1/19/2021,Bank transfers,266,Amex
9663,1,1862.8,United States,2/5/2021,E-Wallet,75,Visa
1812,0,4403.84,Iran,2/21/2021,E-Wallet,140,MasterCard
9726,0,4652.16,Germany,2/27/2021,Bank transfers,52,Visa
6973,0,2106.52,United States,3/31/2021,Credit cards,235,Amex
627,0,2246.44,Germany,1/12/2021,Bank transfers,238,Visa
7336,1,2102.56,Finland,3/21/2021,Credit cards,39,JBC
7419,0,3938.84,Turkey,3/3/2021,Credit cards,249,MasterCard
3729,1,1824.76,Canada,1/28/2021,Mobile,282,Visa
5066,0,3061.24,Netherlands,4/1/2021,Credit cards,189,Amex
3249,0,2785.48,Brazil,1/22/2021,Prepaid cards,64,JBC
5993,1,4968.88,Finland,1/31/2021,Credit cards,185,JBC
6200,1,3976.6,Iran,1/29/2021,E-Wallet,131,Amex
6928,1,1166.52,Switzerland,3/15/2021,Bank transfers,256,MasterCard
7109,1,2385.92,Iran,1/29/2021,Credit cards,55,Visa
6703,1,1740.88,New Zealand,1/25/2021,Mobile,58,MasterCard
1988,1,3783.56,Australia,2/8/2021,Prepaid cards,114,Amex
907,1,4655.56,Norway,3/13/2021,Bank transfers,120,Amex
4296,1,2029.76,Germany,1/9/2021,Prepaid cards,142,MasterCard
5934,1,4352.04,Australia,3/23/2021,Prepaid cards,269,MasterCard
2625,1,2518.44,United Kingdom,1/18/2021,Mobile,102,MasterCard
4245,0,1238,United States,1/25/2021,E-Wallet,136,JBC
8008,1,4766.32,Germany,1/7/2021,Credit cards,8,Amex
9265,0,2981.88,Iran,1/21/2021,E-Wallet,90,Amex
4248,1,4483.68,United Kingdom,2/24/2021,Prepaid cards,148,JBC
2242,0,2422.12,Turkey,1/2/2021,Bank transfers,213,MasterCard
3187,0,1026.28,Ireland,3/17/2021,Mobile,70,JBC
18,1,1819.04,France,1/28/2021,Credit cards,286,JBC
7646,1,4556.68,Ireland,3/21/2021,Credit cards,33,JBC
6617,1,4661.32,Norway,3/13/2021,Bank transfers,142,MasterCard
3505,0,2922.88,United States,3/1/2021,Bank transfers,245,Amex
3683,0,2487.8,Australia,1/20/2021,E-Wallet,237,MasterCard
3964,0,3978.92,Canada,1/2/2021,E-Wallet,93,MasterCard
8798,1,3522.68,Norway,1/11/2021,Mobile,63,Visa
2366,0,3900.12,Norway,2/10/2021,Bank transfers,240,Visa
1366,1,1585.44,Netherlands,1/28/2021,Bank transfers,192,JBC
7160,0,1172.56,Australia,2/6/2021,Bank transfers,195,MasterCard
9511,0,2284.04,Finland,2/7/2021,Bank transfers,152,Visa
9243,0,3664.32,Iran,2/14/2021,Credit cards,130,JBC
1675,1,1097.6,Germany,1/4/2021,Credit cards,251,Amex
8064,0,3469.52,New Zealand,2/13/2021,Mobile,97,JBC
6942,1,1363.8,Netherlands,1/4/2021,Bank transfers,241,MasterCard
7678,0,3346.72,Spain,2/23/2021,Bank transfers,149,Amex
4805,1,2649.12,Brazil,1/4/2021,Bank transfers,6,Visa
4370,0,4583.64,Netherlands,2/9/2021,Prepaid cards,63,Visa
9736,0,2297.48,Spain,2/24/2021,Mobile,153,MasterCard
4239,1,2512.32,United States,2/8/2021,Prepaid cards,138,Amex
8774,1,1991.76,Finland,3/30/2021,Credit cards,11,MasterCard
518,1,1890.28,Switzerland,3/12/2021,Credit cards,197,Amex
2335,1,4523.64,Spain,3/14/2021,Prepaid cards,282,MasterCard
7861,0,1956.44,Norway,3/9/2021,Mobile,119,Amex
4092,0,1109.08,Netherlands,2/27/2021,Credit cards,97,JBC
1347,0,3122.68,Ireland,2/5/2021,Mobile,233,Visa
312,0,2520,New Zealand,2/15/2021,E-Wallet,46,Amex
2122,0,2705.68,Denmark,2/9/2021,Prepaid cards,94,JBC
5879,0,1505.28,Ireland,2/28/2021,E-Wallet,256,Amex
2322,0,4783.28,United Kingdom,1/5/2021,Credit cards,225,Amex
5217,1,2671.32,France,2/18/2021,Mobile,294,Amex
729,0,3858.4,Spain,4/1/2021,Mobile,99,MasterCard
5919,1,4404.4,Iran,1/7/2021,Credit cards,102,Amex
3823,1,1772.52,Iran,3/20/2021,Mobile,162,MasterCard
1112,1,2034.52,Turkey,2/4/2021,Credit cards,289,MasterCard
5140,1,2140.16,Australia,3/25/2021,Mobile,56,JBC
2910,1,2197.72,France,3/29/2021,Credit cards,211,MasterCard
8001,1,2579.28,Norway,1/12/2021,Credit cards,111,MasterCard
2306,0,3923.8,Ireland,1/23/2021,Credit cards,77,Visa
2070,0,2151.4,United States,3/3/2021,Mobile,170,Visa
9236,0,1423.32,France,2/26/2021,Mobile,51,JBC
8025,1,3197.48,United Kingdom,1/24/2021,E-Wallet,196,MasterCard
2507,0,2750.88,Spain,1/10/2021,Credit cards,81,Amex
1735,1,4678.36,Australia,1/12/2021,Credit cards,76,MasterCard
2662,0,3714.96,Canada,3/15/2021,Mobile,82,MasterCard
6268,0,4196.16,Canada,1/20/2021,E-Wallet,300,Amex
7655,1,1021.68,Spain,2/11/2021,E-Wallet,276,Visa
7590,1,3180.48,Netherlands,2/6/2021,Credit cards,291,MasterCard
2246,0,4323.8,Iran,2/16/2021,Bank transfers,138,JBC
4590,1,3677.44,Canada,1/14/2021,Credit cards,159,MasterCard
2964,0,1472.48,Ireland,1/22/2021,Bank transfers,15,Amex
2650,1,4301.68,Germany,1/17/2021,Mobile,99,MasterCard
6578,1,2619.84,Ireland,1/5/2021,Mobile,167,Amex
9791,0,1753.08,Australia,1/2/2021,Mobile,84,JBC
3286,1,4150.88,Spain,3/8/2021,Prepaid cards,295,MasterCard
2620,0,4307.2,Turkey,2/25/2021,Bank transfers,42,Visa
7102,0,1130.04,Denmark,3/9/2021,Bank transfers,27,JBC
2810,0,3986.52,Turkey,1/26/2021,Bank transfers,94,Amex
6191,1,4905.4,Turkey,2/9/2021,E-Wallet,60,Visa
9909,1,1490.96,Canada,3/6/2021,Bank transfers,29,JBC
9409,0,2564.24,Ireland,3/21/2021,E-Wallet,179,Amex
5717,0,3676.4,Turkey,2/7/2021,Prepaid cards,226,MasterCard
1315,1,1293.92,United Kingdom,2/20/2021,E-Wallet,44,MasterCard
3266,0,2415.4,Canada,2/6/2021,Mobile,22,Amex
4229,1,4528.32,Iran,2/7/2021,Credit cards,67,Visa
3336,1,3625.88,Brazil,3/17/2021,Mobile,7,Visa
5406,0,1247.12,United Kingdom,3/15/2021,Bank transfers,224,Visa
7525,0,3109.08,Canada,2/17/2021,Mobile,197,Visa
1993,1,2236.76,Switzerland,1/2/2021,Credit cards,147,JBC
4704,0,4610.6,Ireland,3/2/2021,Bank transfers,139,JBC
7073,1,1338.84,Finland,2/24/2021,Mobile,84,Visa
2557,0,4064.56,Finland,2/11/2021,E-Wallet,153,Amex
1849,0,2061.2,Turkey,2/27/2021,Mobile,139,JBC
2447,0,4638.44,Spain,3/23/2021,Credit cards,112,JBC
4280,0,3214.24,New Zealand,3/8/2021,Credit cards,99,Visa
6290,1,1031.48,United States,1/25/2021,Bank transfers,184,MasterCard
5540,1,3972.24,Norway,3/12/2021,Mobile,191,MasterCard
3540,0,3964.72,Finland,2/8/2021,Credit cards,296,JBC
485,1,3818.28,United Kingdom,2/19/2021,Bank transfers,290,Visa
49,0,1216.36,United States,1/6/2021,Prepaid cards,253,Visa
6876,0,3685.24,Spain,3/26/2021,Prepaid cards,204,JBC
3672,1,1377.96,New Zealand,2/17/2021,Credit cards,150,Amex
8776,0,2837.24,Netherlands,1/4/2021,Credit cards,47,MasterCard
7495,0,2075.32,Germany,3/27/2021,Credit cards,228,MasterCard
3094,0,2960.44,Netherlands,1/4/2021,Bank transfers,298,Amex
8470,0,4855.52,Turkey,3/3/2021,Mobile,267,MasterCard
3575,1,2978.64,Norway,3/22/2021,Mobile,159,Visa
7589,0,4694.48,United Kingdom,2/2/2021,Bank transfers,270,MasterCard
7692,1,4933.64,Canada,3/24/2021,Bank transfers,119,JBC
1726,0,2930.88,Canada,3/4/2021,Bank transfers,117,Visa
7095,0,4224.72,Denmark,2/8/2021,Credit cards,28,Visa
1708,0,1736.68,Finland,2/22/2021,Mobile,9,Amex
919,0,4872.88,Norway,1/20/2021,Mobile,192,MasterCard
7997,0,2907.12,New Zealand,3/15/2021,Bank transfers,198,JBC
2488,1,2940.88,Denmark,1/28/2021,Bank transfers,39,JBC
5846,0,1745.56,Iran,1/18/2021,Credit cards,192,MasterCard
3915,0,3220,Finland,3/31/2021,Bank transfers,96,Visa
5185,0,2463.16,Denmark,1/3/2021,Credit cards,256,MasterCard
3875,1,2676.28,Australia,3/24/2021,Bank transfers,60,Amex
4340,0,2512.08,Brazil,2/10/2021,Bank transfers,251,JBC
7748,0,3304.72,Denmark,1/17/2021,E-Wallet,273,Amex
9201,1,1221.04,Iran,1/25/2021,Bank transfers,192,MasterCard
559,1,4194.12,Brazil,2/25/2021,Mobile,147,Amex
4574,1,2421.76,Canada,1/11/2021,Prepaid cards,25,Amex
4949,1,2497.48,United States,1/22/2021,Bank transfers,99,Amex
2791,0,4218.32,France,1/1/2021,Prepaid cards,276,Amex
4115,0,1591.48,Ireland,2/11/2021,Prepaid cards,54,MasterCard
2120,0,2144.72,United Kingdom,2/3/2021,Mobile,264,MasterCard
8567,1,2576.2,Denmark,2/24/2021,Mobile,273,Visa
3170,0,2183.2,Turkey,3/3/2021,Prepaid cards,21,MasterCard
2616,1,4157.52,Germany,3/1/2021,Bank transfers,293,MasterCard
451,0,1478.84,Ireland,3/14/2021,Bank transfers,117,Amex
1770,1,2083.08,Australia,2/17/2021,E-Wallet,36,MasterCard
9753,0,3513.32,Germany,3/15/2021,Credit cards,214,JBC
1989,0,4530.28,Ireland,3/13/2021,Bank transfers,294,MasterCard
4114,0,4501.44,Denmark,1/29/2021,Prepaid cards,265,Visa
4339,1,1279.64,Denmark,2/27/2021,Mobile,102,Visa
1852,0,3447.52,United Kingdom,2/12/2021,Bank transfers,174,JBC
5563,0,1816.52,United States,3/10/2021,Prepaid cards,273,JBC
6681,1,4102.44,United Kingdom,3/15/2021,Credit cards,282,Visa
4311,1,4022.64,Norway,2/1/2021,E-Wallet,103,JBC
1185,0,3899.4,Finland,2/28/2021,Bank transfers,155,MasterCard
1017,1,2625.76,Netherlands,1/26/2021,Mobile,9,Visa
7961,1,2548.92,Spain,1/10/2021,Credit cards,30,Visa
2959,0,1376.92,Turkey,2/12/2021,E-Wallet,295,Amex
7707,1,4436.64,Switzerland,2/12/2021,Prepaid cards,152,JBC
570,0,4736.32,Brazil,1/17/2021,E-Wallet,98,JBC
2985,0,4694.52,Canada,1/31/2021,E-Wallet,34,JBC
3547,1,3036.48,Australia,1/17/2021,Prepaid cards,111,MasterCard
8431,1,3298.24,Spain,2/23/2021,Mobile,86,JBC
7244,1,1041.84,Turkey,2/19/2021,Bank transfers,277,MasterCard
5405,1,1951.44,United States,3/11/2021,Credit cards,238,MasterCard
7704,0,3189.08,United Kingdom,3/15/2021,Mobile,84,MasterCard
5394,0,2357.8,Australia,1/25/2021,Mobile,290,MasterCard
5454,1,1871.44,Switzerland,4/1/2021,Credit cards,133,JBC
9094,0,3378.48,Denmark,2/23/2021,E-Wallet,272,Amex
9480,0,2519.8,New Zealand,2/8/2021,E-Wallet,192,MasterCard
2260,0,4261.04,New Zealand,1/24/2021,Bank transfers,261,MasterCard
4486,0,2751.44,Finland,2/23/2021,E-Wallet,171,MasterCard
4596,0,1722.72,Netherlands,1/18/2021,Credit cards,12,MasterCard
7299,1,2513.48,Netherlands,1/29/2021,E-Wallet,136,MasterCard
3447,1,3260.6,Brazil,1/29/2021,E-Wallet,140,Amex
4146,0,1226.12,Canada,3/28/2021,Credit cards,298,MasterCard
3652,0,1808,Finland,2/21/2021,Credit cards,203,MasterCard
3476,1,2568.64,Spain,2/26/2021,Bank transfers,74,MasterCard
4163,1,1395.28,Ireland,3/19/2021,Mobile,277,MasterCard
6118,1,3191.28,Denmark,2/13/2021,Prepaid cards,54,MasterCard
1414,0,2271.72,Australia,3/5/2021,Bank transfers,139,Amex
1260,1,1440.88,Denmark,2/2/2021,Mobile,85,JBC
3539,1,3773.12,Turkey,2/14/2021,Credit cards,298,MasterCard
3002,0,1909.84,New Zealand,1/13/2021,Prepaid cards,89,Amex
7292,1,3074.32,Germany,1/21/2021,Bank transfers,11,MasterCard
4933,0,4922.52,Spain,2/3/2021,Prepaid cards,160,MasterCard
4194,0,1701.88,New Zealand,2/8/2021,Credit cards,152,JBC
7614,1,3983.4,United Kingdom,3/29/2021,E-Wallet,191,Visa
8564,0,3689.48,France,1/14/2021,Mobile,209,MasterCard
2573,0,1746.08,Ireland,2/9/2021,E-Wallet,105,MasterCard
9202,0,2021.36,United Kingdom,3/12/2021,Mobile,168,JBC
9387,0,2632.36,Australia,3/31/2021,E-Wallet,232,MasterCard
7533,0,3279.64,Canada,1/8/2021,Prepaid cards,215,JBC
3426,1,2298.68,New Zealand,2/24/2021,Credit cards,282,JBC
6122,0,1197,United States,3/29/2021,Mobile,46,Visa
3974,0,2994.68,Brazil,2/7/2021,Prepaid cards,110,Visa
7703,1,4793.16,Ireland,2/1/2021,Bank transfers,129,JBC
6949,1,2075.16,Ireland,1/28/2021,Credit cards,26,Visa
4331,0,2486.52,Spain,3/5/2021,Credit cards,98,MasterCard
8468,1,4582.36,Denmark,2/12/2021,Bank transfers,215,Amex
